fund_code,fund_name,n_managers,max_tenure_years,min_tenure_years,recent_manager_added,manager_names,tenure_list,qieman_net_asset
001396,建信互联网+产业升级股票,1,11,11,False,何珅华,11,1.93亿
011160,富国质量成长6个月持有混合A,1,4.3,4.3,False,吴栋栋,4.3,1.93亿
012477,富国匠心精选12个月持有混合A,1,4.8,4.8,False,曹晋,4.8,4.84亿
168401,红土创新转型精选混合(LOF)A,1,7.5,7.5,False,盖俊龙,7.5,1.39亿
005632,鹏华量化先锋混合,1,1.5,1.5,False,时赟超,1.5,1.26亿
080002,长盛创新先锋混合A,1,0.6,0.6,False,滕光耀,0.6,1.20亿
014329,国联优势产业混合A,1,3.5,3.5,False,郑玲,3.5,40.75亿
000308,建信创新中国混合,1,11.1,11.1,False,邵卓,11.1,3.36亿
004674,富国新机遇灵活配置混合A,1,2.1,2.1,False,张弘,2.1,18.70亿
008271,大成优势企业混合A,1,6.5,6.5,False,刘旭,6.5,34.86亿
161040,富国创业板两年定开混合,1,5.9,5.9,False,曹晋,5.9,13.08亿
004890,中邮文娱灵活配置混合A,1,4.1,4.1,False,宫正,4.1,1.42亿
013960,万家新机遇成长一年持有期混合发起式A,1,4.5,4.5,False,束金伟,4.5,2.69亿
110005,易方达积极成长,1,5,5,False,何崇恺,5,37.80亿
001125,博时互联网主题灵活配置混合,1,0.6,0.6,False,陈伟,0.6,4.17亿
008734,交银科锐科技创新混合A,1,4.8,4.8,False,高扬,4.8,2.93亿
011708,中欧嘉益一年持有期混合A,1,2.5,2.5,False,叶培培,2.5,2.10亿
011506,建信高端装备股票A,1,5.1,5.1,False,黄子凌,5.1,4.99亿
018124,永赢先进制造智选混合A,1,3.1,3.1,False,张璐,3.1,157.02亿
001265,国泰兴益灵活配置混合A,1,9.4,9.4,False,王琳,9.4,7926.82万
050009,博时新兴成长混合,1,13.4,13.4,False,曾鹏,13.4,25.34亿
012250,安信平衡增利混合A,1,0.9,0.9,False,李君,0.9,1.46亿
004183,富国产业升级混合A,1,9,9,False,章旭峰,9,5748.62万
011229,创金合信数字经济主题股票A,1,2.9,2.9,False,王鑫,2.9,2.38亿
000828,宏利转型机遇A,1,1.4,1.4,False,孟杰,1.4,25.49亿
011167,景顺长城景气成长A,1,5,5,False,董晗,5,10.40亿
001070,建信信息产业股票A,1,0.7,0.7,False,江映德,0.7,5.14亿
005550,汇安成长优选混合A,1,3,3,False,单柏霖,3,21.90亿
009914,富国成长动力混合A,1,5.7,5.7,False,曹晋,5.7,8.30亿
004784,招商稳健优选股票A,1,4.7,4.7,False,陈西中,4.7,3.41亿
013417,博时核心资产精选混合A,1,4.7,4.7,False,冀楠,4.7,2.74亿
016464,兴全合瑞混合A,1,3.8,3.8,False,谢书英,3.8,22.16亿
014325,国联安核心趋势一年持有混合A,1,4.5,4.5,False,魏东,4.5,3.65亿
004745,长盛创新驱动灵活配置混合A,1,0.6,0.6,False,郭堃,0.6,5.45亿
014036,博时成长回报混合A,1,4.5,4.5,False,肖瑞瑾,4.5,2.17亿
000418,景顺长城成长之星A,1,6.1,6.1,False,周寒颖,6.1,25.30亿
001364,大成景润灵活配置混合A,1,3.5,3.5,False,徐雄晖,3.5,6990.57万
