fund_code,fund_name,index_code,index_name,tracking_error,info_ratio_track
007172,易方达中债3-5年国开行债C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005883187685671754,-0.5477129783557928
007228,华安中债7-10年国开债A,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.00964541602188965,-0.8160101590146241
007229,华安中债7-10年国开债C,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.2068052508638167,0.40330032902312424
007252,广发中债农发债总指数A,CBOND_农发行债券总指数_总值,中债农发行债券财富指数,0.006107132632354815,-0.26140112491741013
007253,广发中债农发债总指数C,CBOND_农发行债券总指数_总值,中债农发行债券财富指数,0.006304236604617644,-0.3156322087660824
007259,民生加银中债1-3年农发债指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.0035118324637929623,-1.1249963369051645
007289,汇添富中债1-3年农发债A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.003585969119346671,-0.06268327395843254
007290,汇添富中债1-3年农发债C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.003610570666805831,-0.28546028238853016
007324,鑫元中债1-3年国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004524388512915146,-0.1912598277174278
007325,鑫元中债1-3年国开行债券指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004556835596665006,-0.4033438742605138
007335,中银中债1-3年期农发行债,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.0037993008400438242,-0.9631827254469377
007390,上银中债1-3年农发行债券指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004825819711420452,-1.4790581002573426
007485,博时中债3-5年国开行A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005324737013697039,-0.693662196788209
007486,博时中债3-5年国开行C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005349378275316799,-0.8446155522113536
007507,大成中债3-5年国开债A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.006241278531426354,-0.5560055572692578
007508,大成中债3-5年国开债C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.006279319410328966,-0.7186213667302687
007765,前海开源1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.014243850011549224,-0.3519209839217653
007766,前海开源1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.01028523559268646,-0.985492596489777
007946,大成中债1-3年国开债指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004922756775063857,-0.4805324099397628
007947,大成中债1-3年国开债指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005127150351326558,-0.5277156173323349
008015,嘉实中债3-5年国开债指数A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005730593526591088,-1.0697478824561995
008016,嘉实中债3-5年国开债指数C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.005862345770536697,-1.1901526427693996
008054,汇添富中债7-10年国开债A,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.009313198014125045,-0.296556066795917
008055,汇添富中债7-10年国开债C,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.009214193362016048,-0.40797362788849895
008125,创金合信中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.00520795812109351,-0.16052684576554208
008126,创金合信中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005254460497116629,-0.32929619574287466
008677,银华中债1-3年国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0037087376472461327,-0.31234676977710085
008844,摩根中债1-3年国开债指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004494596329567186,-0.15198145854305073
008845,摩根中债1-3年国开债指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.004530853228627854,-0.38251110155638385
